no real user sys rows
441 0.006 0.005 0 0
442 0.006 0.005 0 0
443 0.007 0.005 0 0
444 0.006 0.005 0 0
445 0.006 0.005 0 0
446 0.006 0.005 0 0
447 0.006 0 0.005 0
448 0.006 0.005 0 0
449 0.006 0.004 0 0
450 0.008 0 0.005 1
451 0.007 0.005 0 0
452 0.007 0.005 0 0
453 0.006 0.003 0.002 0
454 0.006 0.005 0 0
455 0.006 0 0.005 0
456 0.006 0.005 0 0
457 0.006 0 0.005 0
458 0.013 0.002 0.003 0
459 0.007 0.006 0 0
460 0.012 0.005 0 0
461 0.007 0.005 0 0
462 0.008 0.005 0 1
463 0.008 0.005 0 0
464 0.007 0.005 0 0
465 0.007 0 0.005 0
466 0.007 0.005 0 0
467 0.006 0.005 0 0
468 0.006 0.005 0 0
469 0.01 0 0.005 1
470 0.008 0.005 0 1
471 0.007 0.005 0 0
472 0.007 0.005 0 0
473 0.007 0 0.005 0
474 0.007 0.005 0 0
475 0.008 0.005 0 0
476 0.007 0.002 0.003 0
477 0.007 0.005 0 0
478 0.007 0 0.005 0
479 0.006 0.005 0 0
480 0.008 0.003 0.002 1
481 0.006 0 0.005 0
482 0.006 0.005 0 0
483 0.009 0 0.005 1
484 0.013 0.005 0 0
485 0.006 0.005 0 0
486 0.008 0.005 0 1
487 0.006 0.005 0 0
488 0.006 0.005 0 0
489 0.006 0.005 0 0
490 0.006 0 0.005 0
491 0.014 0.005 0 0
492 0.007 0.005 0 0
493 0.006 0.005 0 0
494 0.006 0.005 0 0
495 0.007 0.005 0 0
496 0.006 0 0.005 0
497 0.007 0 0.005 0
498 0.007 0.005 0 0
499 0.006 0.005 0 0
500 0.006 0.005 0 0
501 0.007 0.005 0 0
502 0.006 0 0.005 0
503 0.006 0.005 0 0
504 0.006 0.005 0 0
505 0.006 0.005 0 0
506 0.006 0 0.005 0
507 0.007 0 0.005 0
508 0.008 0.005 0 1
509 0.006 0.005 0 0
510 0.011 0 0.005 0
511 0.006 0.002 0.003 0
512 0.006 0.005 0 0
513 0.007 0.005 0 0
514 0.006 0.005 0 0
515 0.007 0.005 0 0
516 0.007 0.003 0.002 0
517 0.007 0 0.005 0
518 0.007 0 0.005 0
519 0.007 0 0.005 0
520 0.009 0.005 0 1
521 0.015 0.005 0 1
522 0.006 0 0.005 0
523 0.006 0 0.005 0
524 0.007 0.005 0 0
525 0.006 0.005 0 0
526 0.006 0 0.005 0
527 0.006 0.005 0 0
528 0.009 0 0.005 1
529 0.006 0.005 0 0
530 0.006 0.005 0 0
531 0.006 0.005 0 0
532 0.007 0.005 0 0
533 0.007 0.005 0 0
534 0.006 0 0.005 0
535 0.008 0.005 0 0
536 0.008 0.003 0.003 0
537 0.006 0.003 0.003 0
538 0.009 0.005 0 1
539 0.008 0.005 0 1
540 0.008 0.005 0 0
541 0.01 0.005 0 0
542 0.007 0 0.005 0
543 0.009 0.005 0 1
544 0.006 0.005 0 0
545 0.007 0 0.005 0
546 0.008 0.005 0 1
547 0.008 0.006 0 0
548 0.007 0.005 0 0
549 0.01 0.005 0 0
550 0.007 0 0.005 0
551 0.008 0 0.005 0
552 0.013 0.005 0 0
553 0.006 0.005 0 0
554 0.006 0.005 0 0
555 0.009 0.005 0 1
556 0.011 0.005 0 0
557 0.006 0.005 0 0
558 0.006 0 0.005 0
559 0.006 0 0.005 1
560 0.006 0.003 0.002 0
561 0.006 0 0.005 0
562 0.006 0.005 0 0
563 0.008 0.005 0 1
564 0.011 0 0.005 0
565 0.008 0 0.005 0
566 0.006 0 0.005 0
567 0.007 0.003 0.002 0
